abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,0,0,10,3,3,0,0,0,3,2,1,1,7,2,0,1,1,1,0,1,0,1,2,0,1,1,2,1,1,0,0,0,2,2,1,1,4,0,0,2,1,0,10,4,6,1,17,3,1,0,52,100
AL,Alabama,1,N/A,1,9,7,5,0,1,2,67,61,1,2,2,4,8,2,3,8,1,4,0,4,0,3,20,1,18,1,2,0,3,0,2,6,2,3,2,2,0,10,0,38,30,1,9,0,1,1,0,1,483,349
AR,Arkansas,0,4,N/A,7,9,13,0,0,0,16,9,0,1,1,4,4,5,4,5,1,3,1,1,0,39,6,1,8,2,2,1,0,3,1,3,3,16,0,0,0,2,0,15,58,0,6,0,1,4,1,2,295,262
AZ,Arizona,5,5,4,N/A,109,37,2,2,1,44,7,5,8,18,20,7,4,2,5,7,6,3,7,10,8,0,6,17,0,4,3,8,16,28,10,12,18,22,16,0,11,1,15,75,18,14,0,30,10,0,1,1308,661
CA,California,6,26,20,376,N/A,166,22,20,27,282,101,53,18,164,97,35,22,19,22,58,37,6,46,42,46,6,30,132,2,10,10,65,48,346,165,63,28,209,56,8,43,5,105,490,103,103,4,227,27,3,19,2083,4018
CO,Colorado,5,17,15,91,103,N/A,3,7,2,108,26,7,11,16,41,22,16,8,10,16,10,4,12,18,29,6,27,33,2,19,4,11,37,11,20,20,24,33,14,2,15,9,23,148,22,15,2,28,14,0,27,954,1163
CT,Connecticut,1,1,2,9,27,9,N/A,1,4,114,16,1,1,1,4,1,1,2,1,45,6,6,3,2,4,1,1,30,0,0,12,18,0,4,91,5,0,3,15,21,35,0,6,23,0,20,6,5,3,0,2,412,563
DC,DC,0,1,1,5,24,5,1,N/A,4,24,2,1,0,0,10,3,0,2,1,9,151,1,2,2,3,1,1,8,0,1,2,6,1,1,26,4,0,6,5,0,0,0,2,6,1,134,0,2,3,1,0,397,463
DE,Delaware,0,1,1,5,19,5,2,1,N/A,26,1,0,0,0,4,1,2,1,3,6,19,2,4,0,1,0,0,9,0,1,0,15,1,4,18,4,0,1,56,1,4,0,2,5,1,8,1,3,4,2,2,308,246
FL,Florida,0,89,16,31,134,73,29,13,14,N/A,295,7,14,9,69,36,22,33,26,44,44,16,58,29,48,20,8,258,2,4,15,80,14,32,139,66,15,28,71,6,108,4,127,202,15,100,3,44,23,11,8,3984,2552
GA,Georgia,0,77,4,12,65,24,4,5,5,278,N/A,3,3,4,26,8,4,15,7,10,21,1,5,3,16,20,6,97,0,2,1,17,7,13,31,16,5,7,21,3,84,1,90,80,9,51,0,23,6,0,1,1331,1191
HI,Hawaii,1,1,0,9,27,9,1,0,0,12,5,N/A,0,2,2,1,1,0,1,3,4,0,1,4,3,0,0,3,0,1,1,1,4,7,2,2,3,15,1,0,2,1,4,8,6,7,0,8,2,1,3,162,169
IA,Iowa,0,3,6,12,12,18,3,0,0,21,2,1,N/A,2,36,7,12,0,1,1,1,0,2,22,24,0,2,5,1,31,1,2,1,2,1,7,3,0,3,0,3,24,12,28,1,1,1,3,18,0,0,274,336
ID,Idaho,3,7,2,18,14,8,1,0,1,5,4,1,0,N/A,4,1,1,0,0,0,2,2,0,2,7,0,15,0,3,0,0,0,1,6,4,2,1,17,0,1,1,0,2,11,21,4,0,29,4,2,1,451,208
IL,Illinois,1,17,6,68,93,51,6,4,4,208,47,2,45,7,N/A,107,13,19,6,17,13,3,46,20,99,6,1,40,3,2,3,16,9,18,24,31,7,11,24,1,25,6,68,102,11,20,0,15,114,0,3,958,1462
IN,Indiana,0,9,3,16,18,8,0,0,1,94,23,1,2,3,82,N/A,4,32,2,5,2,0,29,7,7,4,2,15,1,0,0,2,2,5,7,31,3,4,16,2,8,1,18,30,2,13,1,7,8,1,1,533,532
KS,Kansas,1,3,6,15,9,31,1,0,2,17,6,1,3,1,11,4,N/A,4,1,2,1,1,2,6,134,1,1,7,0,18,0,1,3,6,4,5,25,2,7,0,1,0,5,41,2,6,0,4,0,0,0,402,401
KY,Kentucky,3,9,4,5,14,4,0,2,1,56,20,1,4,1,15,48,1,N/A,3,4,1,0,9,0,9,4,0,6,0,0,0,1,2,3,4,60,3,1,5,1,13,0,45,27,3,22,1,4,1,5,0,346,425
LA,Louisiana,0,25,17,9,28,8,2,2,0,53,22,0,1,2,7,4,6,9,N/A,2,5,1,2,2,11,63,0,14,0,1,1,1,3,7,15,9,3,3,7,0,6,0,18,218,4,5,0,2,4,0,1,323,603
