abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
MA,Massachusetts,0,4,1,14,58,11,53,9,3,133,22,1,0,2,15,7,0,1,6,N/A,14,33,10,6,4,1,0,33,1,1,123,22,2,4,66,13,2,1,24,51,18,2,16,39,5,30,17,8,6,1,1,628,894
MD,Maryland,1,4,1,16,43,15,6,135,51,136,33,1,1,1,10,9,0,2,5,8,N/A,6,13,5,5,2,0,54,1,1,3,19,6,9,36,15,3,9,81,3,38,2,9,58,5,211,1,5,5,14,1,807,1098
ME,Maine,1,0,0,5,2,2,1,3,0,17,3,1,0,1,0,0,1,0,1,21,5,N/A,4,3,2,0,1,3,0,0,20,6,1,0,7,0,0,1,3,1,4,0,4,5,1,5,2,1,0,0,0,175,138
MI,Michigan,0,4,1,16,30,18,4,2,34,79,23,4,7,3,37,35,5,4,1,6,8,1,N/A,3,6,3,1,22,3,1,1,9,4,9,23,35,4,4,14,0,17,0,14,40,3,13,2,8,15,1,1,472,578
MN,Minnesota,1,0,3,34,34,14,2,1,0,60,12,2,17,4,23,6,9,2,0,5,2,0,6,N/A,8,1,7,13,39,3,2,5,1,6,11,5,5,6,6,0,8,15,11,29,1,7,1,9,72,1,1,425,510
MO,Missouri,2,8,33,17,24,24,2,2,0,76,27,1,26,4,71,6,159,11,4,2,5,1,4,6,N/A,4,6,7,2,10,0,5,3,4,4,11,21,2,7,1,13,3,17,59,3,11,1,9,10,0,1,727,729
MS,Mississippi,0,24,10,5,10,5,0,0,0,24,21,0,2,1,7,2,1,1,36,1,2,0,0,0,5,N/A,0,4,0,0,0,0,0,6,1,1,3,0,4,1,2,0,46,39,1,5,0,2,3,0,0,288,275
MT,Montana,1,1,1,14,10,8,0,0,0,9,5,1,0,9,2,1,0,1,0,0,1,0,1,5,1,1,N/A,4,8,5,1,1,0,4,1,1,4,9,1,2,2,1,4,12,4,1,0,17,1,0,4,217,159
NC,North Carolina,0,12,4,10,52,20,10,6,2,147,61,7,4,3,15,8,4,10,7,16,23,2,13,6,11,8,3,N/A,2,2,4,11,4,9,37,26,10,4,23,1,206,1,41,48,3,94,2,19,1,3,1,1624,1016
ND,North Dakota,0,1,0,9,4,4,0,0,1,7,5,0,0,0,0,0,1,3,2,1,0,0,2,41,3,0,8,1,N/A,3,0,0,0,0,2,1,1,1,3,0,1,7,0,4,2,1,0,5,1,0,1,105,126
NE,Nebraska,0,1,2,11,5,11,3,1,0,12,2,1,29,1,2,1,13,1,1,3,1,1,1,2,12,2,0,2,2,N/A,0,1,0,2,6,3,5,2,1,1,2,10,6,17,4,2,1,6,4,1,2,168,199
NH,New Hampshire,0,2,0,7,7,3,5,1,1,38,1,0,0,2,1,2,1,1,0,67,2,22,3,3,0,0,0,11,0,0,N/A,3,2,2,8,5,0,0,2,0,2,0,4,6,1,4,17,2,0,0,0,268,238
NJ,New Jersey,0,5,0,8,61,16,18,6,26,225,38,5,1,2,24,7,2,3,4,30,35,5,7,4,3,1,1,75,0,0,7,N/A,1,8,280,5,4,2,199,4,27,0,17,48,1,31,2,4,5,0,1,1178,1258
NM,New Mexico,0,3,3,42,23,22,0,0,0,18,2,0,1,1,2,2,2,1,1,4,1,0,0,4,3,1,0,5,1,0,1,0,N/A,1,4,2,5,2,2,0,4,0,1,60,3,6,0,6,0,0,1,267,240
NV,Nevada,0,2,3,36,103,16,0,1,2,35,10,3,1,11,7,5,2,2,1,2,5,1,5,3,7,1,2,11,1,2,0,4,2,N/A,10,11,4,12,4,2,2,0,9,35,28,6,0,20,1,1,2,724,433
NY,New York,0,7,8,31,196,34,161,23,34,455,57,6,3,2,43,17,6,8,15,72,32,15,11,18,9,1,3,121,0,3,14,545,7,13,N/A,33,4,12,120,16,72,0,37,95,12,71,8,16,15,2,3,1342,2486
OH,Ohio,1,9,2,23,32,9,4,4,1,133,31,1,2,1,20,47,8,47,5,10,8,2,38,10,13,4,6,52,1,1,4,17,2,10,19,N/A,4,5,41,0,28,1,25,58,8,18,0,8,7,15,3,702,798
OK,Oklahoma,0,1,19,9,19,21,0,1,0,37,7,2,5,2,8,9,19,2,9,3,3,0,5,4,18,4,0,5,2,2,1,3,5,5,3,5,N/A,1,5,0,3,1,6,118,3,4,1,4,7,0,4,387,395
OR,Oregon,2,2,1,47,90,15,2,1,0,22,7,8,5,30,8,1,2,1,2,9,2,0,4,6,9,1,16,9,0,2,4,5,3,22,6,5,0,N/A,6,1,4,0,5,38,19,5,2,191,1,0,5,599,626
PA,Pennsylvania,1,2,6,14,75,18,12,9,45,159,20,1,5,6,30,10,6,6,6,19,81,7,16,5,9,4,1,65,0,1,5,181,2,7,70,46,1,9,N/A,3,42,2,16,67,7,50,3,13,11,7,3,1012,1184
RI,Rhode Island,0,3,0,1,10,1,11,1,0,20,0,2,0,0,2,0,1,0,0,50,3,3,1,1,1,0,0,4,0,0,1,1,1,1,10,2,1,0,3,N/A,4,0,0,2,0,3,0,1,0,0,0,148,145
SC,South Carolina,0,4,3,14,12,2,4,1,2,63,62,0,1,0,11,6,2,5,3,3,8,2,3,3,2,4,0,124,0,0,1,7,0,2,11,11,1,1,11,1,N/A,2,21,21,3,25,1,4,2,2,1,1002,472
SD,South Dakota,1,1,1,11,2,7,0,0,0,5,1,0,13,1,2,1,2,1,2,1,1,0,3,15,4,0,2,2,7,5,0,0,1,3,0,1,1,0,0,0,1,N/A,2,12,1,1,0,1,3,0,4,115,122
TN,Tennessee,0,37,15,18,35,3,3,1,2,114,78,1,2,4,23,13,3,37,8,2,10,2,20,3,16,52,2,33,0,2,0,2,2,8,9,27,6,6,18,2,18,2,N/A,66,2,22,1,14,7,7,10,1052,768
TX,Texas,1,29,60,58,182,98,14,8,8,212,66,8,17,19,44,12,21,17,87,18,19,7,30,21,41,23,8,72,6,12,2,36,44,23,55,29,118,22,40,1,24,5,84,N/A,25,52,2,41,11,5,6,2774,1843
UT,Utah,1,0,2,30,45,18,3,0,0,17,8,6,1,27,8,1,2,5,2,3,4,0,2,7,4,0,9,4,2,2,2,5,2,26,10,3,2,7,1,2,2,1,6,22,N/A,2,0,21,0,0,8,398,335
VA,Virginia,1,15,4,15,67,25,7,119,22,192,60,7,3,5,16,13,3,9,6,18,184,4,17,9,15,6,3,146,1,2,3,24,8,13,45,25,6,9,40,4,55,1,24,81,5,N/A,2,15,4,30,2,1275,1390
VT,Vermont,0,1,0,0,2,4,4,0,0,10,0,0,0,0,0,2,0,1,0,12,1,8,0,0,0,0,0,9,0,0,11,6,2,0,8,2,0,2,3,3,5,0,3,3,1,6,N/A,0,0,0,1,86,110
WA,Washington,10,2,0,62,99,13,2,3,4,36,13,6,2,58,21,5,6,1,5,10,5,3,5,5,11,3,25,15,2,2,2,8,6,21,19,9,8,99,8,1,9,2,7,61,17,19,0,N/A,8,1,2,910,741
WI,Wisconsin,1,1,4,15,20,7,3,1,1,39,4,1,12,4,67,6,3,1,1,1,0,3,13,54,11,1,2,9,3,1,1,3,3,3,5,7,2,3,7,0,5,3,16,24,3,4,0,5,N/A,0,0,451,383
WV,West Virginia,0,1,0,2,6,0,1,0,1,19,2,0,0,0,0,2,0,8,0,0,11,0,0,0,1,0,0,6,0,0,1,0,0,2,1,19,2,0,15,0,9,0,4,3,0,17,0,2,0,N/A,0,119,135
WY,Wyoming,0,2,0,7,10,13,0,0,0,7,1,0,0,7,1,0,1,0,0,0,0,0,1,2,2,1,8,1,3,6,0,2,1,3,3,1,2,0,1,1,2,1,2,12,3,5,0,0,2,0,N/A,141,114
