abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
SC,South Carolina,1,9,7,10,48,15,37,3,5,90,167,5,3,0,44,16,5,7,12,25,29,5,39,3,8,8,0,384,0,5,6,81,4,2,105,50,2,1,58,3,N/A,1,26,31,2,36,2,9,11,5,0,1425,862
SD,South Dakota,0,0,1,3,13,15,0,1,0,1,2,0,57,0,4,2,4,0,0,1,0,0,3,44,1,0,2,0,13,26,0,0,1,0,2,2,3,2,0,0,0,N/A,2,4,1,1,0,3,4,0,8,226,188
TN,Tennessee,0,88,61,18,129,19,18,3,11,118,196,0,8,3,68,31,14,140,30,11,20,4,52,14,35,121,1,74,0,2,4,33,4,7,65,53,23,3,23,3,33,0,N/A,120,6,89,3,13,13,5,2,1791,1487
TX,Texas,10,41,164,122,810,175,82,17,34,267,152,15,41,8,202,59,99,45,304,58,64,4,89,57,109,50,12,62,10,33,12,130,174,30,219,67,281,26,101,8,23,6,99,N/A,23,100,4,73,28,11,12,4622,4113
UT,Utah,2,0,0,49,272,50,3,0,2,14,4,3,2,42,20,3,7,3,4,3,6,1,6,2,2,0,3,2,0,0,3,5,9,55,14,3,3,27,8,0,1,0,3,38,N/A,10,2,17,6,0,20,729,548
VA,Virginia,1,9,5,21,172,19,60,1118,17,149,61,8,9,1,52,18,4,27,14,45,821,5,31,10,14,3,2,164,1,3,7,134,11,3,223,43,5,8,109,6,16,0,55,93,8,N/A,5,18,9,89,1,3707,3029
VT,Vermont,0,0,0,0,17,4,34,1,5,14,4,1,1,0,7,0,0,0,0,60,5,7,3,1,1,0,0,1,0,0,59,12,0,0,56,3,0,0,9,3,0,1,0,7,0,9,N/A,2,0,0,0,327,288
WA,Washington,82,1,7,54,664,31,17,3,1,41,9,41,5,139,37,3,6,2,2,16,15,3,15,16,5,4,41,4,2,5,4,23,13,21,59,16,9,541,19,3,3,5,0,71,28,21,2,N/A,15,0,5,2129,1557
WI,Wisconsin,4,1,2,10,77,15,15,5,2,41,16,1,42,2,469,19,2,5,3,8,15,1,73,300,9,1,4,10,0,5,2,15,6,1,18,31,6,4,18,0,2,5,7,30,2,10,1,8,N/A,1,0,1324,1060
WV,West Virginia,0,4,1,3,13,2,3,7,0,19,6,0,1,0,12,4,0,23,0,3,63,0,3,0,1,0,0,11,0,1,1,6,0,0,8,100,0,2,50,0,2,0,4,5,1,92,0,4,1,N/A,1,457,496
WY,Wyoming,0,0,0,4,33,48,3,0,1,9,0,0,6,5,5,0,3,1,0,2,1,0,2,3,3,0,28,2,7,14,0,1,5,15,6,0,4,5,1,0,0,3,0,19,17,1,0,4,3,0,N/A,264,261
