abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
NC,North Carolina,0,1,0,1,5,2,2,0,2,26,12,0,0,2,3,1,1,0,0,3,4,0,1,1,0,0,0,N/A,1,0,0,2,1,0,5,2,2,1,3,0,47,0,6,6,0,18,0,0,1,3,0
ND,North Dakota,0,0,0,3,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,13,1,0,2,0,N/A,1,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0
NE,Nebraska,0,3,0,5,0,7,0,0,1,2,0,0,19,1,1,1,1,0,1,1,5,0,1,1,3,0,0,1,0,N/A,0,0,1,1,0,1,1,2,0,0,1,3,0,5,0,0,0,1,3,0,2
NH,New Hampshire,0,0,2,2,3,0,7,0,1,7,0,0,1,0,1,0,0,0,0,27,0,13,0,0,0,0,0,1,0,0,N/A,1,0,0,4,1,0,1,2,0,1,0,0,0,0,1,8,0,0,0,0
NJ,New Jersey,0,2,1,5,35,10,20,3,7,84,9,0,0,0,16,2,1,1,1,9,13,0,5,2,3,0,0,15,0,1,0,N/A,0,2,172,5,0,0,152,0,5,0,4,17,2,18,5,3,0,2,0
NM,New Mexico,0,0,1,12,12,6,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,N/A,5,1,0,2,1,1,0,0,0,0,28,1,1,0,1,1,0,1
NV,Nevada,2,0,0,2,41,4,0,0,0,2,0,1,0,2,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3,1,N/A,1,1,0,1,0,1,0,0,1,0,4,0,0,4,0,0,0
NY,New York,0,3,0,13,70,6,181,13,6,199,24,0,1,1,22,3,5,2,1,26,16,5,9,5,6,1,1,23,0,0,3,450,4,3,N/A,18,1,2,62,12,11,1,7,24,1,27,2,11,4,0,0
OH,Ohio,0,3,0,7,5,1,5,2,0,56,8,0,0,1,12,18,1,34,0,1,3,1,26,2,7,0,0,14,0,0,1,5,3,3,11,N/A,1,0,20,2,6,0,5,6,0,7,0,0,3,8,0
OK,Oklahoma,1,0,12,7,20,4,0,1,0,7,2,1,1,0,2,0,9,1,1,0,1,1,3,1,10,0,0,1,0,2,0,1,4,1,0,0,N/A,1,1,0,1,1,6,57,0,0,0,2,1,0,0
OR,Oregon,1,0,0,4,43,2,0,0,0,2,0,2,1,7,0,0,0,0,1,4,4,0,4,1,0,0,2,1,0,0,1,0,1,8,3,1,1,N/A,0,0,0,0,0,0,0,2,0,71,1,0,2
PA,Pennsylvania,0,1,0,5,20,2,9,3,20,55,10,2,1,1,8,2,1,1,0,7,14,0,4,0,2,0,1,8,0,0,2,122,2,3,42,23,3,0,N/A,1,3,0,2,5,1,12,0,1,1,6,0
RI,Rhode Island,0,1,0,2,1,1,15,0,0,5,2,0,0,0,0,1,0,0,0,36,0,0,1,0,0,0,0,1,0,0,3,0,0,0,6,1,0,0,1,N/A,0,0,0,0,0,0,0,0,0,0,0
SC,South Carolina,0,1,1,0,3,0,2,0,0,15,18,0,0,0,1,0,0,0,2,0,2,1,0,0,2,1,0,44,0,0,0,2,0,1,5,5,0,1,1,1,N/A,0,5,3,0,1,0,0,0,0,0
