abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,13,4,68,71,31,2,6,0,25,12,15,6,27,10,4,6,7,5,8,7,2,9,15,10,3,26,19,3,3,2,1,16,32,12,9,5,81,14,1,9,4,14,50,15,32,2,179,11,2,8,525,916
AL,Alabama,8,N/A,28,30,76,31,7,4,2,470,492,3,11,3,42,30,14,38,82,13,25,6,37,12,32,177,2,74,1,5,2,20,14,14,42,45,25,11,41,3,55,5,257,190,5,56,0,11,11,5,4,3580,2571
AR,Arkansas,5,40,N/A,34,65,33,6,5,1,103,55,2,22,6,43,16,44,17,93,6,12,1,24,12,234,58,0,29,1,12,2,6,9,13,6,27,209,10,11,0,13,2,153,358,8,31,0,20,18,2,1,2359,1878
AZ,Arizona,18,29,34,N/A,1079,344,42,10,10,226,94,44,59,99,135,77,53,38,18,51,40,16,104,107,108,16,54,104,16,38,16,45,172,238,111,112,65,160,80,15,38,30,82,444,175,100,6,229,82,7,26,10370,5296
CA,California,48,139,198,2430,N/A,1043,197,84,32,1388,563,476,96,601,540,227,162,134,124,384,303,64,312,251,349,81,185,543,29,99,80,353,368,2536,984,333,262,1881,364,56,176,46,391,2217,574,527,37,1488,175,22,64,16672,24016
CO,Colorado,30,48,67,668,938,N/A,43,25,6,518,143,66,96,116,186,88,174,54,45,68,73,25,101,140,184,23,132,154,31,167,16,76,236,202,158,117,144,161,120,12,71,53,105,725,169,165,12,267,116,6,169,6789,7509
CT,Connecticut,1,19,16,104,240,65,N/A,22,17,836,128,8,6,9,75,28,9,13,12,448,78,91,34,24,22,8,7,236,1,3,83,199,25,33,922,63,7,22,172,143,119,1,49,142,22,159,72,32,19,8,2,3839,4854
DC,DC,1,6,1,10,93,15,10,N/A,15,86,39,5,2,1,35,6,7,3,5,36,1781,3,8,8,17,7,3,35,0,2,2,27,12,7,115,14,7,13,37,3,20,1,9,34,4,1233,6,8,5,4,2,2700,3803
DE,Delaware,2,4,7,15,48,4,15,10,N/A,99,38,5,2,2,17,8,5,3,2,29,243,4,12,4,7,3,3,35,0,0,2,101,6,8,60,28,2,2,373,2,13,1,11,37,3,47,4,10,4,4,1,1594,1345
FL,Florida,31,737,123,349,998,429,255,62,60,N/A,2309,42,75,31,546,331,118,298,243,380,396,118,522,164,288,164,40,1730,11,46,103,495,107,263,1182,611,149,122,625,78,650,24,1148,1266,94,706,57,173,189,99,21,28331,19058
GA,Georgia,6,648,76,104,357,129,72,36,14,1849,N/A,13,21,16,170,89,40,104,116,77,156,19,117,64,100,88,18,588,2,21,15,126,34,59,216,182,47,44,158,12,647,9,596,486,35,268,10,89,51,28,6,9750,8228
HI,Hawaii,14,9,1,65,285,34,5,3,3,53,20,N/A,6,13,18,9,5,2,5,9,18,4,16,10,8,1,4,34,2,2,1,12,16,68,25,4,6,44,17,1,17,1,20,72,25,40,2,103,9,2,1,1340,1144
IA,Iowa,2,18,36,154,90,92,13,7,2,174,45,5,N/A,10,393,39,83,20,12,13,11,4,40,233,204,7,15,33,12,290,6,11,27,33,21,50,23,22,21,4,13,116,39,176,12,32,3,33,131,2,14,2155,2846
ID,Idaho,19,9,9,121,237,89,3,2,0,48,11,23,12,N/A,23,14,6,6,7,2,7,4,10,26,25,4,98,11,7,11,1,13,17,94,18,13,8,222,21,1,8,13,17,84,238,25,1,451,17,4,36,2480,2146
IL,Illinois,4,61,86,489,676,238,55,29,15,1141,281,23,350,21,N/A,909,87,144,32,85,108,11,409,176,654,56,20,212,10,37,19,136,69,162,223,262,62,65,158,15,109,15,204,535,24,172,8,106,899,14,14,7263,9690
IN,Indiana,0,35,26,161,179,74,12,12,7,767,98,7,40,8,595,N/A,33,413,24,36,35,3,401,54,84,22,9,111,4,11,7,28,28,51,60,334,34,17,62,2,68,10,134,196,14,61,4,28,69,15,5,4427,4488
KS,Kansas,4,16,46,102,132,182,12,4,1,141,51,10,45,11,77,27,N/A,21,21,10,22,3,30,31,1273,9,11,39,5,110,6,14,27,46,27,41,230,25,27,3,14,7,34,288,18,40,3,47,23,2,12,3401,3380
KY,Kentucky,4,68,26,55,93,28,5,6,4,360,117,4,15,5,123,453,26,N/A,19,10,25,4,58,14,64,15,4,93,1,6,5,30,8,24,33,472,17,14,36,3,56,2,337,126,13,65,2,19,31,55,5,3193,3058
LA,Louisiana,5,136,121,34,168,68,13,12,3,282,187,3,5,5,48,23,11,26,N/A,17,28,7,16,17,61,416,6,93,2,9,1,23,16,35,52,37,44,13,30,3,52,7,114,1124,12,57,1,28,21,3,7,2358,3502
MA,Massachusetts,1,19,9,124,494,115,469,57,19,1218,130,23,15,5,112,25,9,20,10,N/A,123,307,52,35,31,5,12,257,2,10,1216,202,38,41,515,80,14,36,179,542,121,2,56,176,20,183,117,66,30,9,2,4927,7353
MD,Maryland,7,60,19,116,332,86,33,1048,367,966,240,22,15,11,113,37,14,41,34,134,N/A,37,46,29,43,15,16,411,2,18,19,180,38,55,220,125,17,24,820,17,210,6,92,256,22,1670,19,58,32,251,5,7153,8448
ME,Maine,2,4,3,46,55,17,42,5,4,256,23,2,3,4,6,9,2,12,1,148,24,N/A,11,7,3,1,5,49,3,1,190,17,5,9,61,16,2,8,31,14,25,1,17,31,6,46,17,19,10,3,4,1458,1280
MI,Michigan,8,78,34,350,373,138,49,20,11,1294,250,16,48,18,418,396,30,91,35,73,79,17,N/A,93,85,31,27,302,4,9,10,51,40,142,145,481,43,59,125,10,170,9,253,340,41,141,9,75,208,15,23,4438,6767
MN,Minnesota,18,11,34,328,278,160,19,13,1,430,77,15,195,18,149,39,43,28,13,31,32,9,70,N/A,90,19,44,74,281,52,9,36,35,77,67,59,23,42,62,8,43,183,57,285,25,73,11,77,869,4,14,3475,4630
MO,Missouri,7,47,161,129,196,113,24,12,6,367,117,16,86,17,581,84,1500,39,45,24,33,7,80,62,N/A,30,10,88,5,42,10,30,18,45,61,69,141,33,49,4,23,5,106,323,20,73,4,42,50,11,9,5565,5054
MS,Mississippi,2,255,81,22,43,23,12,4,2,196,115,6,8,3,40,24,6,27,287,3,18,3,29,9,40,N/A,4,48,4,5,0,15,4,18,22,20,19,8,10,3,37,3,349,228,7,46,1,10,11,6,0,2219,2136
MT,Montana,15,9,7,131,130,86,4,2,1,59,13,11,4,98,17,7,8,3,6,4,8,6,22,38,22,3,N/A,17,38,11,0,5,19,44,13,12,15,89,17,1,15,17,10,64,52,9,2,149,18,2,55,1415,1388
NC,North Carolina,7,88,33,83,263,111,53,34,25,941,480,19,37,12,105,74,30,73,60,91,142,16,110,43,68,38,16,N/A,2,18,22,123,22,46,232,151,24,32,188,21,1099,4,288,282,17,653,12,63,48,49,6,10537,6454
ND,North Dakota,1,1,5,62,33,33,2,3,0,26,5,2,13,12,8,7,7,1,2,1,6,2,4,353,7,6,33,6,N/A,14,2,0,5,14,7,9,4,12,1,1,3,46,7,22,3,11,2,15,14,1,8,618,842
NE,Nebraska,2,5,18,103,75,165,3,2,2,68,14,4,331,17,42,16,121,9,6,10,4,1,14,46,119,5,13,23,6,N/A,0,7,12,29,19,18,33,27,18,3,12,79,12,105,11,19,0,22,18,0,42,1409,1730
NH,New Hampshire,0,13,1,57,81,22,62,2,3,443,35,7,10,2,25,8,3,8,8,675,19,283,16,11,9,3,4,92,3,1,N/A,40,8,24,99,30,4,17,43,28,55,2,25,64,7,54,153,13,12,7,0,2348,2591
NJ,New Jersey,2,51,21,194,576,117,238,36,226,1991,314,22,32,20,200,67,33,63,41,232,276,58,129,48,66,24,17,525,7,13,52,N/A,49,88,2507,206,27,37,2033,29,257,6,112,354,19,357,58,70,60,20,7,9981,11987
NM,New Mexico,5,13,22,275,206,257,10,6,3,99,23,8,13,19,36,17,24,12,8,13,26,1,14,26,37,10,21,28,2,11,3,13,N/A,66,26,26,49,55,17,2,14,8,24,499,23,55,6,65,12,3,17,2434,2228
NV,Nevada,5,18,13,296,1153,120,10,9,5,155,48,32,15,73,57,12,24,11,23,26,18,4,33,30,57,9,25,39,2,10,8,36,45,N/A,73,45,25,99,35,1,22,6,44,218,189,49,3,133,22,6,20,6037,3411
NY,New York,2,59,21,342,1266,180,1503,121,98,3884,516,38,21,14,250,87,35,69,52,533,317,90,155,78,58,18,16,996,4,14,105,5148,69,182,N/A,223,26,83,1068,140,362,11,172,452,43,544,149,132,66,18,9,10327,19839
OH,Ohio,7,74,34,255,348,134,36,24,24,1520,257,8,35,22,304,496,45,639,30,89,99,18,530,65,88,24,16,323,7,14,16,87,37,97,193,N/A,43,39,423,16,252,6,249,310,25,216,11,77,78,197,10,5901,7947
OK,Oklahoma,3,20,186,64,115,110,3,4,5,123,45,12,23,3,37,21,169,25,34,15,18,0,17,22,153,17,8,25,3,19,3,12,31,34,20,47,N/A,12,20,1,14,7,54,754,13,28,0,31,7,3,6,2816,2396
OR,Oregon,43,14,15,293,820,106,14,10,1,125,31,61,20,248,56,19,15,15,16,25,28,8,25,39,41,7,63,39,5,9,4,18,38,141,35,32,21,N/A,37,4,17,9,39,165,71,29,4,1414,23,3,16,5138,4331
PA,Pennsylvania,8,51,18,190,383,140,106,39,458,1358,212,10,23,15,154,86,32,62,28,150,559,41,109,47,80,15,17,375,3,18,36,1687,34,69,608,447,23,38,N/A,23,233,8,93,267,22,385,30,78,66,119,17,8560,9070
RI,Rhode Island,1,3,0,10,47,4,113,8,4,266,12,1,2,0,15,2,3,1,5,485,12,31,16,6,14,1,0,35,1,0,25,21,7,5,52,18,1,3,23,N/A,24,0,3,21,2,19,10,12,4,1,2,1296,1351
SC,South Carolina,3,54,18,41,92,24,20,3,6,371,477,8,9,6,32,36,13,37,21,30,42,6,32,14,26,22,8,837,1,3,9,33,9,14,71,73,10,10,71,4,N/A,6,107,132,5,158,4,16,17,8,0,5825,3049
SD,South Dakota,5,4,6,50,30,61,3,1,0,23,6,1,70,8,16,12,20,3,0,2,1,0,13,119,18,2,29,8,36,64,3,3,6,15,5,9,17,9,9,1,2,N/A,12,36,5,9,0,25,21,0,39,884,837
TN,Tennessee,6,262,124,68,161,59,16,7,15,579,609,3,18,11,98,99,28,259,64,17,55,11,91,28,83,531,9,212,4,7,14,41,14,30,84,125,36,13,64,6,115,3,N/A,285,17,181,7,42,38,19,7,6681,4675
TX,Texas,27,163,458,429,1095,628,80,43,29,903,425,46,60,47,351,143,176,119,547,113,148,12,173,136,315,142,42,309,13,69,31,175,436,227,317,246,698,141,217,15,147,18,325,N/A,108,356,15,267,107,23,23,15335,11133
UT,Utah,18,16,7,264,426,184,8,4,2,85,52,16,9,225,37,20,20,12,12,18,20,5,21,33,26,10,42,33,0,14,7,22,38,242,47,27,25,96,24,0,10,10,17,137,N/A,50,5,112,14,2,48,2495,2572
VA,Virginia,11,79,19,165,392,163,52,810,64,1057,347,33,23,18,164,72,38,66,60,147,1475,30,108,40,88,35,19,928,4,20,35,157,45,70,259,186,47,53,364,20,266,4,233,382,46,N/A,15,89,33,213,9,9578,9053
VT,Vermont,1,1,3,19,38,18,41,3,4,119,17,0,2,3,5,5,0,5,1,67,13,33,8,4,4,1,1,54,0,0,122,22,4,3,106,11,2,11,16,9,20,0,9,13,9,16,N/A,9,4,2,0,909,858
