abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,8,5,18,48,30,1,1,2,31,6,14,2,19,4,0,4,4,5,1,7,2,8,18,7,2,15,7,1,2,0,2,5,5,2,7,3,43,8,1,3,5,6,27,18,11,1,91,3,1,11,525,916
AL,Alabama,13,N/A,40,29,139,48,19,6,4,737,648,9,18,9,61,35,16,68,136,19,60,4,78,11,47,255,9,88,1,5,13,51,13,18,59,74,20,14,51,3,54,4,262,163,16,79,1,30,29,9,5,3580,2571
AR,Arkansas,4,28,N/A,34,198,67,16,1,7,123,76,1,36,9,86,26,46,26,121,9,19,3,34,34,161,81,7,33,5,18,1,21,22,13,21,34,186,15,18,0,18,6,124,458,7,19,3,33,40,3,8,2359,1878
AZ,Arizona,68,30,34,N/A,2430,668,104,10,15,349,104,65,154,121,489,161,102,55,34,124,116,46,350,328,129,22,131,83,62,103,57,194,275,296,342,255,64,293,190,10,41,50,68,429,264,165,19,561,238,12,60,10370,5296
CA,California,71,76,65,1079,N/A,938,240,93,48,998,357,285,90,237,676,179,132,93,168,494,332,55,373,278,196,43,130,263,33,75,81,576,206,1153,1266,348,115,820,383,47,92,30,161,1095,426,392,38,1109,173,18,46,16672,24016
CO,Colorado,31,31,33,344,1043,N/A,65,15,4,429,129,34,92,89,238,74,182,28,68,115,86,17,138,160,113,23,86,111,33,165,22,117,257,120,180,134,110,106,140,4,24,61,59,628,184,163,18,195,87,8,196,6789,7509
CT,Connecticut,2,7,6,42,197,43,N/A,10,15,255,72,5,13,3,55,12,12,5,13,469,33,42,49,19,24,12,4,53,2,3,62,238,10,10,1503,36,3,14,106,113,20,3,16,80,8,52,41,27,13,3,4,3839,4854
DC,DC,6,4,5,10,84,25,22,N/A,10,62,36,3,7,2,29,12,4,6,12,57,1048,5,20,13,12,4,2,34,3,2,2,36,6,9,121,24,4,10,39,8,3,1,7,43,4,810,3,16,11,3,1,2700,3803
DE,Delaware,0,2,1,10,32,6,17,15,N/A,60,14,3,2,0,15,7,1,4,3,19,367,4,11,1,6,2,1,25,0,2,3,226,3,5,98,24,5,1,458,4,6,0,15,29,2,64,4,11,2,4,0,1594,1345
FL,Florida,25,470,103,226,1388,518,836,86,99,N/A,1849,53,174,48,1141,767,141,360,282,1218,966,256,1294,430,367,196,59,941,26,68,443,1991,99,155,3884,1520,123,125,1358,266,371,23,579,903,85,1057,119,263,435,119,26,28331,19058
GA,Georgia,12,492,55,94,563,143,128,39,38,2309,N/A,20,45,11,281,98,51,117,187,130,240,23,250,77,117,115,13,480,5,14,35,314,23,48,516,257,45,31,212,12,477,6,609,425,52,347,17,78,69,18,12,9750,8228
HI,Hawaii,15,3,2,44,476,66,8,5,5,42,13,N/A,5,23,23,7,10,4,3,23,22,2,16,15,16,6,11,19,2,4,7,22,8,32,38,8,12,61,10,1,8,1,3,46,16,33,0,117,17,4,6,1340,1144
IA,Iowa,6,11,22,59,96,96,6,2,2,75,21,6,N/A,12,350,40,45,15,5,15,15,3,48,195,86,8,4,37,13,331,10,32,13,15,21,35,23,20,23,2,9,70,18,60,9,23,2,29,106,1,10,2155,2846
ID,Idaho,27,3,6,99,601,116,9,1,2,31,16,13,10,N/A,21,8,11,5,5,5,11,4,18,18,17,3,98,12,12,17,2,20,19,73,14,22,3,248,15,0,6,8,11,47,225,18,3,474,18,1,54,2480,2146
IL,Illinois,10,42,43,135,540,186,75,35,17,546,170,18,393,23,N/A,595,77,123,48,112,113,6,418,149,581,40,17,105,8,42,25,200,36,57,250,304,37,56,154,15,32,16,98,351,37,164,5,97,634,15,13,7263,9690
IN,Indiana,4,30,16,77,227,88,28,6,8,331,89,9,39,14,909,N/A,27,453,23,25,37,9,396,39,84,24,7,74,7,16,8,67,17,12,87,496,21,19,86,2,36,12,99,143,20,72,5,39,76,11,3,4427,4488
KS,Kansas,6,14,44,53,162,174,9,7,5,118,40,5,83,6,87,33,N/A,26,11,9,14,2,30,43,1500,6,8,30,7,121,3,33,24,24,35,45,169,15,32,3,13,20,28,176,20,38,0,41,24,3,2,3401,3380
KY,Kentucky,7,38,17,38,134,54,13,3,3,298,104,2,20,6,144,413,21,N/A,26,20,41,12,91,28,39,27,3,73,1,9,8,63,12,11,69,639,25,15,62,1,37,3,259,119,12,66,5,19,26,54,3,3193,3058
LA,Louisiana,5,82,93,18,124,45,12,5,2,243,116,5,12,7,32,24,21,19,N/A,10,34,1,35,13,45,287,6,60,2,6,8,41,8,23,52,30,34,16,28,5,21,0,64,547,12,60,1,27,13,2,2,2358,3502
MA,Massachusetts,8,13,6,51,384,68,448,36,29,380,77,9,13,2,85,36,10,10,17,N/A,134,148,73,31,24,3,4,91,1,10,675,232,13,26,533,89,15,25,150,485,30,2,17,113,18,147,67,53,29,2,5,4927,7353
MD,Maryland,7,25,12,40,303,73,78,1781,243,396,156,18,11,7,108,35,22,25,28,123,N/A,24,79,32,33,18,8,142,6,4,19,276,26,18,317,99,18,28,559,12,42,1,55,148,20,1475,13,53,23,107,7,7153,8448
ME,Maine,2,6,1,16,64,25,91,3,4,118,19,4,4,4,11,3,3,4,7,307,37,N/A,17,9,7,3,6,16,2,1,283,58,1,4,90,18,0,8,41,31,6,0,11,12,5,30,33,20,11,1,1,1458,1280
MI,Michigan,9,37,24,104,312,101,34,8,12,522,117,16,40,10,409,401,30,58,16,52,46,11,N/A,70,80,29,22,110,4,14,16,129,14,33,155,530,17,25,109,16,32,13,91,173,21,108,8,48,181,12,9,4438,6767
MN,Minnesota,15,12,12,107,251,140,24,8,4,164,64,10,233,26,176,54,31,14,17,35,29,7,93,N/A,62,9,38,43,353,46,11,48,26,30,78,65,22,39,47,6,14,119,28,136,33,40,4,75,553,1,23,3475,4630
MO,Missouri,10,32,234,108,349,184,22,17,7,288,100,8,204,25,654,84,1273,64,61,31,43,3,85,90,N/A,40,22,68,7,119,9,66,37,57,58,88,153,41,80,14,26,18,83,315,26,88,4,61,86,7,16,5565,5054
