abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
MS,Mississippi,3,177,58,16,81,23,8,7,3,164,88,1,7,4,56,22,9,15,416,5,15,1,31,19,30,N/A,3,38,6,5,3,24,10,9,18,24,17,7,15,1,22,2,531,142,10,35,1,13,20,3,1,2219,2136
MT,Montana,26,2,0,54,185,132,7,3,3,40,18,4,15,98,20,9,11,4,6,12,16,5,27,44,10,4,N/A,16,33,13,4,17,21,25,16,16,8,63,17,0,8,29,9,42,42,19,1,166,22,3,70,1415,1388
NC,North Carolina,19,74,29,104,543,154,236,35,35,1730,588,34,33,11,212,111,39,93,93,257,411,49,302,74,88,48,17,N/A,6,23,92,525,28,39,996,323,25,39,375,35,837,8,212,309,33,928,54,69,79,73,10,10537,6454
ND,North Dakota,3,1,1,16,29,31,1,0,0,11,2,2,12,7,10,4,5,1,2,2,2,3,4,281,5,4,38,2,N/A,6,3,7,2,2,4,7,3,5,3,1,1,36,4,13,0,4,0,14,18,0,6,618,842
NE,Nebraska,3,5,12,38,99,167,3,2,0,46,21,2,290,11,37,11,110,6,9,10,18,1,9,52,42,5,11,18,14,N/A,1,13,11,10,14,14,19,9,18,0,3,64,7,69,14,20,0,19,17,0,35,1409,1730
NH,New Hampshire,2,2,2,16,80,16,83,2,2,103,15,1,6,1,19,7,6,5,1,1216,19,190,10,9,10,0,0,22,2,0,N/A,52,3,8,105,16,3,4,36,25,9,3,14,31,7,35,122,9,10,5,4,2348,2591
NJ,New Jersey,1,20,6,45,353,76,199,27,101,495,126,12,11,13,136,28,14,30,23,202,180,17,51,36,30,15,5,123,0,7,40,N/A,13,36,5148,87,12,18,1687,21,33,3,41,175,22,157,22,42,23,17,2,9981,11987
NM,New Mexico,16,14,9,172,368,236,25,12,6,107,34,16,27,17,69,28,27,8,16,38,38,5,40,35,18,4,19,22,5,12,8,49,N/A,45,69,37,31,38,34,7,9,6,14,436,38,45,4,76,24,3,18,2434,2228
NV,Nevada,32,14,13,238,2536,202,33,7,8,263,59,68,33,94,162,51,46,24,35,41,55,9,142,77,45,18,44,46,14,29,24,88,66,N/A,182,97,34,141,69,5,14,15,30,227,242,70,3,202,62,7,21,6037,3411
NY,New York,12,42,6,111,984,158,922,115,60,1182,216,25,21,18,223,60,27,33,52,515,220,61,145,67,61,22,13,232,7,19,99,2507,26,73,N/A,193,20,35,608,52,71,5,84,317,47,259,106,111,58,21,6,10327,19839
OH,Ohio,9,45,27,112,333,117,63,14,28,611,182,4,50,13,262,334,41,472,37,80,125,16,481,59,69,20,12,151,9,18,30,206,26,45,223,N/A,47,32,447,18,73,9,125,246,27,186,11,53,69,224,10,5901,7947
OK,Oklahoma,5,25,209,65,262,144,7,7,2,149,47,6,23,8,62,34,230,17,44,14,17,2,43,23,141,19,15,24,4,33,4,27,49,25,26,43,N/A,21,23,1,10,17,36,698,25,47,2,42,16,5,18,2816,2396
OR,Oregon,81,11,10,160,1881,161,22,13,2,122,44,44,22,222,65,17,25,14,13,36,24,8,59,42,33,8,89,32,12,27,17,37,55,99,83,39,12,N/A,38,3,10,9,13,141,96,53,11,1058,30,4,31,5138,4331
PA,Pennsylvania,14,41,11,80,364,120,172,37,373,625,158,17,21,21,158,62,27,36,30,179,820,31,125,62,49,10,17,188,1,18,43,2033,17,35,1068,423,20,37,N/A,23,71,9,64,217,24,364,16,43,48,131,7,8560,9070
RI,Rhode Island,1,3,0,15,56,12,143,3,2,78,12,1,4,1,15,2,3,3,3,542,17,14,10,8,4,3,1,21,1,3,28,29,2,1,140,16,1,4,23,N/A,4,1,6,15,0,20,9,9,3,2,2,1296,1351
SC,South Carolina,9,55,13,38,176,71,119,20,13,650,647,17,13,8,109,68,14,56,52,121,210,25,170,43,23,37,15,1099,3,12,55,257,14,22,362,252,14,17,233,24,N/A,2,115,147,10,266,20,30,37,39,3,5825,3049
SD,South Dakota,4,5,2,30,46,53,1,1,1,24,9,1,116,13,15,10,7,2,7,2,6,1,9,183,5,3,17,4,46,79,2,6,8,6,11,6,7,9,8,0,6,N/A,3,18,10,4,0,13,21,1,43,884,837
TN,Tennessee,14,257,153,82,391,105,49,9,11,1148,596,20,39,17,204,134,34,337,114,56,92,17,253,57,106,349,10,288,7,12,25,112,24,44,172,249,54,39,93,3,107,12,N/A,325,17,233,9,63,85,41,13,6681,4675
TX,Texas,50,190,358,444,2217,725,142,34,37,1266,486,72,176,84,535,196,288,126,1124,176,256,31,340,285,323,228,64,282,22,105,64,354,499,218,452,310,754,165,267,21,132,36,285,N/A,137,382,13,334,161,25,64,15335,11133
UT,Utah,15,5,8,175,574,169,22,4,3,94,35,25,12,238,24,14,18,13,12,20,22,6,41,25,20,7,52,17,3,11,7,19,23,189,43,25,13,71,22,2,5,5,17,108,N/A,46,9,123,12,3,69,2495,2572
VA,Virginia,32,56,31,100,527,165,159,1233,47,706,268,40,32,25,172,61,40,65,57,183,1670,46,141,73,73,46,9,653,11,19,54,357,55,49,544,216,28,29,385,19,158,9,181,356,50,N/A,16,107,53,167,5,9578,9053
VT,Vermont,2,0,0,6,37,12,72,6,4,57,10,2,3,1,8,4,3,2,1,117,19,17,9,11,4,1,2,12,2,0,153,58,6,3,149,11,0,4,30,10,4,0,7,15,5,15,N/A,9,2,4,0,909,858
WA,Washington,179,11,20,229,1488,267,32,8,10,173,89,103,33,451,106,28,47,19,28,66,58,19,75,77,42,10,149,63,15,22,13,70,65,133,132,77,31,1414,78,12,16,25,42,267,112,89,9,N/A,52,11,30,6595,6243
WI,Wisconsin,11,11,18,82,175,116,19,5,4,189,51,9,131,17,899,69,23,31,21,30,32,10,208,869,50,11,18,48,14,18,12,60,12,22,66,78,7,23,66,4,17,21,38,107,14,33,4,49,N/A,4,8,3834,3841
WV,West Virginia,2,5,2,7,22,6,8,4,4,99,28,2,2,4,14,15,2,55,3,9,251,3,15,4,11,6,2,49,1,0,7,20,3,6,18,197,3,3,119,1,8,0,19,23,2,213,2,1,8,N/A,0,1288,1212
WY,Wyoming,8,4,1,26,64,169,2,2,1,21,6,1,14,36,14,5,12,5,7,2,5,4,23,14,9,0,55,6,8,42,0,7,17,20,9,10,6,16,17,2,0,39,7,23,48,9,0,21,14,0,N/A,831,999
