abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,13,3,29,70,36,3,5,2,27,19,11,1,19,9,4,2,7,16,5,11,6,16,28,16,8,11,18,4,5,4,6,15,4,8,12,9,38,14,0,9,8,10,47,14,37,2,100,14,3,6,764,1398
AL,Alabama,19,N/A,60,56,174,98,15,10,17,860,911,10,23,16,101,71,28,95,229,22,53,12,76,27,68,377,11,138,4,12,11,29,16,24,66,75,43,24,64,5,65,5,392,298,9,173,4,33,35,10,9,4983,4105
AR,Arkansas,11,44,N/A,48,170,87,11,7,3,141,82,6,47,12,94,28,84,35,250,13,22,6,32,48,322,131,8,44,4,29,4,21,16,12,34,44,269,8,26,0,19,10,187,591,17,55,2,19,35,4,9,3201,2774
AZ,Arizona,86,50,59,N/A,2753,849,94,21,29,439,159,69,166,146,636,207,161,69,85,130,142,35,290,330,213,34,141,126,108,137,53,151,288,345,360,247,98,403,240,20,60,87,125,631,335,184,15,674,259,18,69,12426,7979
CA,California,88,102,106,1614,N/A,1182,330,196,133,1594,660,394,142,216,941,256,134,130,262,613,463,57,396,364,327,80,105,510,41,94,82,627,281,1282,1746,454,174,1015,539,68,136,33,304,1935,487,685,42,1305,225,26,81,23057,31490
CO,Colorado,63,56,76,508,1440,N/A,86,45,24,756,238,64,161,126,398,141,258,68,120,133,162,17,156,200,217,40,101,187,69,243,38,139,327,173,319,211,214,202,208,10,49,75,118,1091,217,282,29,249,137,16,289,10546,10623
CT,Connecticut,0,13,7,38,225,48,N/A,28,17,363,68,7,14,5,71,12,7,15,13,466,76,39,44,18,23,4,5,81,1,10,57,186,11,13,1586,43,7,13,119,111,29,1,23,101,15,92,44,29,20,8,2,4228,6064
DC,DC,2,6,5,23,181,48,27,N/A,24,123,70,4,8,2,61,12,4,14,18,77,1303,10,23,20,24,2,3,68,1,5,8,48,7,10,162,35,7,11,65,5,9,0,11,79,7,1095,6,23,17,8,4,3785,4634
DE,Delaware,0,10,2,13,112,15,23,29,N/A,94,30,3,3,3,27,8,10,9,6,31,514,6,52,8,10,4,0,40,3,3,6,252,3,7,156,17,5,4,499,6,20,0,11,35,3,149,4,16,5,7,1,2274,2174
FL,Florida,60,754,192,431,1944,877,1164,156,211,N/A,2904,104,259,65,1698,927,260,601,495,1288,1281,267,1268,552,640,290,62,1544,53,115,427,2158,131,281,4005,1708,262,176,1828,229,576,47,1003,1854,138,1758,153,331,542,188,56,38313,27129
GA,Georgia,20,761,69,128,748,234,169,50,43,2956,N/A,33,45,21,375,184,78,180,280,154,281,25,269,105,157,219,27,735,16,40,36,329,26,68,583,400,69,48,298,21,650,10,779,650,48,470,10,116,114,32,11,13170,12914
HI,Hawaii,30,15,5,58,471,76,11,8,3,70,37,N/A,11,16,26,15,17,11,10,16,24,3,18,23,11,5,11,28,6,7,6,21,11,37,56,19,17,92,17,4,14,4,18,97,35,56,8,113,13,3,6,1689,1550
IA,Iowa,13,22,25,89,126,105,13,4,4,141,41,5,N/A,8,510,36,81,23,22,11,20,6,51,250,185,15,10,37,18,341,7,12,10,16,37,50,34,32,46,2,10,107,28,136,8,30,2,31,146,3,5,2964,3766
ID,Idaho,58,8,11,126,938,149,7,1,3,65,40,23,13,N/A,30,21,22,6,7,14,12,7,25,34,26,7,116,20,29,19,5,13,31,109,20,23,20,361,28,4,10,14,19,112,246,33,3,546,24,3,69,3530,2444
IL,Illinois,15,65,47,240,791,265,81,55,32,749,291,13,403,30,N/A,790,105,194,79,134,159,9,422,209,707,62,24,161,19,47,22,196,32,98,369,329,76,70,222,15,63,15,162,492,53,200,15,121,670,31,11,9460,13602
IN,Indiana,8,55,38,92,280,105,28,11,9,466,153,7,54,15,1135,N/A,35,612,52,42,83,5,429,54,113,34,9,104,6,16,13,68,15,32,105,532,49,37,110,7,58,13,174,206,18,95,7,61,93,21,8,5772,6256
KS,Kansas,13,18,48,73,228,226,13,5,10,142,90,13,95,9,101,36,N/A,30,50,12,25,4,35,53,1708,13,9,50,15,150,6,30,21,26,50,47,200,31,28,3,24,23,50,306,24,78,2,44,42,4,12,4325,4715
KY,Kentucky,11,75,35,51,177,68,18,7,5,393,157,6,27,6,219,532,29,N/A,48,31,40,9,111,25,98,33,5,103,8,14,11,28,14,24,83,759,28,18,82,6,50,6,391,165,16,111,9,23,62,80,2,4309,4785
LA,Louisiana,13,134,150,48,191,86,13,15,11,334,165,4,13,6,53,22,44,44,N/A,36,42,4,46,14,74,444,7,79,12,6,4,36,17,15,79,52,55,13,51,4,35,7,99,882,14,102,2,38,15,11,4,3645,6180
MA,Massachusetts,8,18,7,70,568,113,582,75,41,632,113,21,16,6,146,60,22,26,32,N/A,162,199,74,38,50,14,15,139,3,11,680,275,30,20,705,110,17,45,239,545,54,8,43,195,26,183,117,64,31,2,7,6657,8440
MD,Maryland,16,43,15,74,358,87,101,1753,292,591,227,24,26,11,119,49,25,33,53,151,N/A,34,85,51,53,33,6,275,4,10,28,297,26,42,375,128,30,40,763,25,71,6,73,246,22,2033,17,79,31,135,7,9073,10897
ME,Maine,9,4,6,16,76,40,103,11,6,145,18,5,5,4,18,3,8,6,9,338,48,N/A,19,9,8,3,3,35,2,4,268,53,11,3,118,21,3,8,59,19,18,5,18,51,9,50,45,15,13,2,2,1752,1489
MI,Michigan,20,60,25,155,469,136,46,21,27,751,179,11,54,13,506,475,30,108,65,80,84,12,N/A,83,82,31,23,163,20,26,13,89,21,62,180,612,46,46,140,9,80,13,179,302,36,159,14,74,238,17,20,6105,7105
MN,Minnesota,18,15,17,139,337,174,25,14,8,262,71,18,336,27,224,61,52,29,28,64,38,8,106,N/A,84,10,50,78,501,69,14,44,21,31,122,101,35,51,72,6,25,174,42,202,39,91,8,80,762,8,11,4802,5752
MO,Missouri,21,51,289,139,394,248,39,14,18,376,131,12,271,31,875,113,1621,100,90,57,62,12,83,104,N/A,45,17,130,19,126,13,44,20,46,112,117,199,50,103,2,35,28,150,475,47,114,4,76,118,16,20,7277,7435
MS,Mississippi,6,251,82,22,69,32,9,5,3,215,150,4,19,8,58,25,14,29,596,3,16,4,33,7,53,N/A,6,51,1,10,1,14,5,12,24,48,31,10,23,3,28,3,553,184,6,60,2,15,16,6,3,2828,3323
MT,Montana,25,8,9,91,265,156,11,8,2,66,34,6,18,108,30,11,18,9,15,5,6,5,23,64,20,8,N/A,26,58,18,5,3,16,28,25,37,20,96,33,1,4,22,15,76,57,32,3,168,32,2,88,1886,1608
NC,North Carolina,26,157,54,165,824,252,284,86,69,2289,855,29,68,28,341,171,84,157,145,302,544,68,277,133,107,72,30,N/A,10,21,96,598,45,72,1064,501,60,71,604,46,1107,15,361,569,58,1485,56,122,106,101,18,14803,10225
ND,North Dakota,7,1,6,34,38,75,3,0,3,37,15,1,13,32,33,8,14,5,9,4,2,2,29,495,18,1,77,9,N/A,18,0,2,9,9,5,31,16,13,8,3,1,96,6,43,22,16,2,29,44,3,29,1376,1479
NE,Nebraska,6,12,12,53,106,214,5,8,5,56,28,4,390,18,63,16,134,11,9,9,12,4,12,67,85,7,19,19,21,N/A,0,5,17,17,28,33,28,12,16,2,6,91,16,108,17,28,1,29,29,2,37,1927,2286
NH,New Hampshire,4,4,3,19,109,36,96,6,7,172,25,4,3,3,26,14,3,4,7,1153,22,198,18,8,13,5,2,38,1,2,N/A,63,2,15,108,27,5,11,45,30,12,0,4,36,8,49,171,18,11,2,2,2624,2644
NJ,New Jersey,3,21,8,78,569,74,234,43,136,836,200,14,12,8,151,115,22,30,35,224,209,40,67,44,34,36,10,170,5,6,38,N/A,9,45,5144,109,16,35,1846,17,72,0,62,249,26,230,33,69,38,11,10,11493,12260
NM,New Mexico,18,4,17,204,353,284,16,14,6,120,37,19,18,30,69,28,35,21,44,31,42,8,42,31,33,8,14,30,8,16,10,27,N/A,43,62,43,55,63,45,2,25,15,29,523,38,69,5,73,29,7,16,2779,2639
NV,Nevada,35,26,18,376,2917,253,31,17,17,324,84,71,29,90,162,52,34,19,58,47,66,4,94,70,61,26,37,59,17,17,15,70,47,N/A,175,83,41,195,75,7,25,17,67,257,235,118,7,199,61,8,32,6845,4412
NY,New York,18,43,19,166,1351,213,1006,200,134,1741,352,28,30,24,301,77,39,56,86,636,337,52,151,103,79,18,20,338,13,25,99,2730,39,105,N/A,230,39,77,844,68,133,8,109,455,63,448,120,161,59,19,20,13482,22660
OH,Ohio,13,77,37,134,494,176,69,41,29,930,315,10,54,16,310,464,54,669,89,91,146,23,540,75,105,40,13,272,14,26,28,114,35,68,308,N/A,47,52,632,11,132,14,243,367,35,245,10,102,101,266,6,8142,9961
OK,Oklahoma,21,30,241,101,285,190,13,8,5,166,89,15,43,15,71,32,296,33,89,11,26,6,41,36,236,27,19,52,16,41,2,25,48,35,49,58,N/A,19,39,3,16,13,73,1082,29,59,4,36,36,12,18,3910,3878
OR,Oregon,93,25,10,245,1892,238,32,18,10,181,52,96,35,248,78,45,29,19,44,51,51,16,44,48,42,15,112,60,17,24,16,29,44,118,116,59,26,N/A,75,5,19,10,33,212,97,87,16,1143,38,10,18,6041,5876
PA,Pennsylvania,24,55,20,139,464,161,153,83,491,921,211,18,34,15,277,112,42,79,76,239,886,38,152,70,75,26,15,262,16,22,62,1927,40,48,1195,537,49,50,N/A,21,119,10,107,382,37,471,30,96,86,187,20,10650,12366
RI,Rhode Island,0,2,2,2,75,14,170,8,5,129,21,1,3,1,16,6,1,4,3,614,18,24,4,6,2,2,2,20,0,1,25,26,2,9,99,12,2,2,37,N/A,6,1,6,20,2,35,9,10,8,2,3,1472,1486
SC,South Carolina,17,97,26,100,274,133,294,21,34,933,1006,20,33,13,217,112,42,110,74,165,311,45,171,42,68,42,8,1690,12,17,67,342,21,30,599,361,37,40,419,27,N/A,10,195,236,25,521,31,78,64,74,10,9314,4602
SD,South Dakota,5,5,4,36,61,102,0,0,0,34,12,3,180,5,24,9,22,3,5,5,6,1,14,222,21,2,26,8,109,122,1,2,7,12,10,7,11,12,11,1,5,N/A,12,48,11,14,1,18,28,1,38,1296,1225
TN,Tennessee,17,391,213,134,621,176,70,15,21,1396,864,20,68,22,427,233,69,521,221,63,117,25,236,70,179,527,17,381,11,27,29,117,33,52,271,326,67,51,194,12,195,12,N/A,593,38,342,20,73,106,53,12,9748,7332
TX,Texas,100,295,577,752,3551,1282,203,76,76,1983,915,118,234,115,932,336,453,256,2016,331,438,32,456,368,619,381,72,535,56,170,67,460,614,343,788,572,1158,281,540,31,196,80,564,N/A,260,723,29,475,272,57,105,25343,18111
UT,Utah,25,22,14,247,790,254,25,7,4,141,54,34,17,266,55,32,19,15,24,32,47,7,44,32,49,12,45,41,22,22,13,25,35,256,81,46,32,134,41,4,16,8,21,225,N/A,66,6,180,24,4,73,3688,3243
VA,Virginia,69,111,43,142,722,248,189,1367,99,1098,458,55,35,27,215,119,73,133,101,227,2090,46,161,81,104,69,16,1003,13,26,71,357,57,78,631,235,52,57,544,46,224,15,255,558,53,N/A,48,129,70,246,22,12888,13996
