abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
NM,New Mexico,0,0,3,16,48,37,0,1,1,14,7,4,1,1,9,2,3,2,3,2,6,1,4,1,3,0,0,4,0,0,2,1,N/A,2,7,2,5,3,2,1,0,1,2,44,2,8,2,6,3,0,1,267,240
NV,Nevada,2,2,1,28,346,11,4,1,4,32,13,7,2,6,18,5,6,3,7,4,9,0,9,6,4,6,4,9,0,2,2,8,1,N/A,13,10,5,22,7,1,2,3,8,23,26,13,0,21,3,2,3,724,433
NY,New York,2,6,3,10,165,20,91,26,18,139,31,2,1,4,24,7,4,4,15,66,36,7,23,11,4,1,1,37,2,6,8,280,4,10,N/A,19,3,6,70,10,11,0,9,55,10,45,8,19,5,1,3,1342,2486
OH,Ohio,1,2,3,12,63,20,5,4,4,66,16,2,7,2,31,31,5,60,9,13,15,0,35,5,11,1,1,26,1,3,5,5,2,11,33,N/A,5,5,46,2,11,1,27,29,3,25,2,9,7,19,1,702,798
OK,Oklahoma,1,3,16,18,28,24,0,0,0,15,5,3,3,1,7,3,25,3,3,2,3,0,4,5,21,3,4,10,1,5,0,4,5,4,4,4,N/A,0,1,1,1,1,6,118,2,6,0,8,2,2,2,387,395
OR,Oregon,4,2,0,22,209,33,3,6,1,28,7,15,0,17,11,4,2,1,3,1,9,1,4,6,2,0,9,4,1,2,0,2,2,12,12,5,1,N/A,9,0,1,0,6,22,7,9,2,99,3,0,0,599,626
PA,Pennsylvania,0,2,0,16,56,14,15,5,56,71,21,1,3,0,24,16,7,5,7,24,81,3,14,6,7,4,1,23,3,1,2,199,2,4,120,41,5,6,N/A,3,11,0,18,40,1,40,3,8,7,15,1,1012,1184
RI,Rhode Island,0,0,0,0,8,2,21,0,1,6,3,0,0,1,1,2,0,1,0,51,3,1,0,0,1,1,2,1,0,1,0,4,0,2,16,0,0,1,3,N/A,1,0,2,1,2,4,3,1,0,0,1,148,145
SC,South Carolina,2,10,2,11,43,15,35,0,4,108,84,2,3,1,25,8,1,13,6,18,38,4,17,8,13,2,2,206,1,2,2,27,4,2,72,28,3,4,42,4,N/A,1,18,24,2,55,5,9,5,9,2,1002,472
SD,South Dakota,1,0,0,1,5,9,0,0,0,4,1,1,24,0,6,1,0,0,0,2,2,0,0,15,3,0,1,1,7,10,0,0,0,0,0,1,1,0,2,0,2,N/A,2,5,1,1,0,2,3,0,1,115,122
TN,Tennessee,0,38,15,15,105,23,6,2,2,127,90,4,12,2,68,18,5,45,18,16,9,4,14,11,17,46,4,41,0,6,4,17,1,9,37,25,6,5,16,0,21,2,N/A,84,6,24,3,7,16,4,2,1052,768
TX,Texas,10,30,58,75,490,148,23,6,5,202,80,8,28,11,102,30,41,27,218,39,58,5,40,29,59,39,12,48,4,17,6,48,60,35,95,58,118,38,67,2,21,12,66,N/A,22,81,3,61,24,3,12,2774,1843
UT,Utah,4,1,0,18,103,22,0,1,1,15,9,6,1,21,11,2,2,3,4,5,5,1,3,1,3,1,4,3,2,4,1,1,3,28,12,8,3,19,7,0,3,1,2,25,N/A,5,1,17,3,0,3,398,335
VA,Virginia,6,9,6,14,103,15,20,134,8,100,51,7,1,4,20,13,6,22,5,30,211,5,13,7,11,5,1,94,1,2,4,31,6,6,71,18,4,5,50,3,25,1,22,52,2,N/A,6,19,4,17,5,1275,1390
VT,Vermont,1,0,0,0,4,2,6,0,1,3,0,0,1,0,0,1,0,1,0,17,1,2,2,1,1,0,0,2,0,1,17,2,0,0,8,0,1,2,3,0,1,0,1,2,0,2,N/A,0,0,0,0,86,110
WA,Washington,17,1,1,30,227,28,5,2,3,44,23,8,3,29,15,7,4,4,2,8,5,1,8,9,9,2,17,19,5,6,2,4,6,20,16,8,4,191,13,1,4,1,14,41,21,15,0,N/A,5,2,0,910,741
WI,Wisconsin,3,1,4,10,27,14,3,3,4,23,6,2,18,4,114,8,0,1,4,6,5,0,15,72,10,3,1,1,1,4,0,5,0,1,15,7,7,1,11,0,2,3,7,11,0,4,0,8,N/A,0,2,451,383
WV,West Virginia,1,0,1,0,3,0,0,1,2,11,0,1,0,2,0,1,0,5,0,1,14,0,1,1,0,0,0,3,0,1,0,0,0,1,2,15,0,0,7,0,2,0,7,5,0,30,0,1,0,N/A,0,119,135
WY,Wyoming,0,1,2,1,19,27,2,0,2,8,1,3,0,1,3,1,0,0,1,1,1,0,1,1,1,0,4,1,1,2,0,1,1,2,3,3,4,5,3,0,1,4,10,6,8,2,1,2,0,0,N/A,141,114
