abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
AK,Alaska,N/A,0,1,9,19,5,0,0,0,7,1,7,0,3,2,0,2,1,1,3,1,2,2,1,2,2,0,2,0,0,1,0,1,0,1,0,0,17,0,0,1,0,0,10,2,1,0,82,4,0,0,138,193
AL,Alabama,1,N/A,14,7,22,9,4,0,0,144,145,0,1,1,12,9,2,8,27,5,6,0,8,3,7,51,0,20,0,0,1,8,1,1,15,10,1,7,12,0,9,0,88,41,0,9,0,1,1,4,0,869,715
AR,Arkansas,0,9,N/A,9,20,6,0,2,1,28,20,0,3,0,12,8,4,2,21,4,2,0,3,2,63,15,1,7,1,3,0,1,2,4,2,6,61,3,3,0,7,1,61,164,0,5,0,7,2,1,0,724,576
AZ,Arizona,2,8,7,N/A,399,104,5,3,3,44,20,8,10,15,36,19,17,8,4,5,9,2,26,24,25,3,12,16,3,11,3,17,60,79,39,23,10,28,18,2,10,3,18,122,49,21,0,54,10,3,4,2768,1421
CA,California,17,39,71,928,N/A,558,107,50,21,514,218,128,30,242,260,87,55,53,37,175,89,14,107,75,125,12,79,164,3,43,32,187,159,1200,448,144,93,799,145,11,48,13,129,810,272,172,17,664,77,13,33,5581,9767
CO,Colorado,7,6,9,147,295,N/A,18,8,5,86,33,14,17,20,40,26,51,9,14,16,15,6,31,31,39,2,20,21,7,32,4,18,64,57,53,30,30,24,30,3,15,15,19,175,50,19,4,31,15,2,48,2337,1731
CT,Connecticut,1,3,2,26,104,25,N/A,10,18,289,83,2,3,6,66,13,6,12,3,273,41,35,19,8,18,3,3,79,1,7,60,140,11,8,621,44,6,4,64,57,37,0,18,82,3,60,34,17,15,3,3,2260,2446
DC,DC,0,3,3,1,60,16,10,N/A,5,43,17,1,3,2,13,2,2,2,3,18,1392,0,5,3,3,3,1,11,0,0,3,8,5,2,52,6,3,4,24,0,3,1,3,17,0,1118,1,3,5,7,0,1388,2887
DE,Delaware,0,2,0,4,14,2,12,2,N/A,34,16,0,1,1,14,2,0,3,1,5,104,1,9,2,4,1,0,14,0,1,4,66,0,3,41,13,1,1,216,0,5,0,11,34,2,17,5,1,2,0,1,736,672
FL,Florida,4,130,25,55,225,96,61,15,21,N/A,489,11,17,6,137,72,21,38,50,99,83,25,85,37,48,19,7,261,1,11,23,196,13,33,285,142,26,17,173,17,90,1,118,267,14,149,14,41,41,19,9,7372,3837
GA,Georgia,0,161,11,29,93,22,19,15,6,410,N/A,2,5,1,53,19,8,37,24,26,44,8,28,11,24,20,3,137,0,5,1,34,10,13,72,40,8,3,53,4,167,2,196,152,4,61,4,9,16,6,0,2996,2076
HI,Hawaii,1,0,0,23,122,22,2,0,0,9,4,N/A,1,0,4,1,2,0,1,1,2,0,1,1,0,0,3,5,0,2,1,4,3,18,2,2,2,14,3,0,5,0,0,15,3,8,1,41,1,0,0,284,330
IA,Iowa,2,2,4,28,24,37,0,4,0,39,7,0,N/A,6,161,16,27,4,0,5,6,0,10,61,57,1,4,10,0,106,1,6,3,6,10,15,2,6,3,0,3,57,8,41,2,9,1,5,42,1,6,669,848
ID,Idaho,5,0,1,15,35,13,4,1,1,4,0,5,2,N/A,8,1,2,1,1,1,1,0,3,8,3,0,18,2,0,4,1,0,4,9,3,1,0,46,4,0,0,0,3,8,42,1,0,139,2,0,5,721,407
IL,Illinois,2,20,25,183,303,137,50,18,7,372,113,6,177,13,N/A,462,37,62,15,52,34,10,192,85,290,19,6,85,5,17,20,79,16,54,133,114,15,23,88,2,44,4,68,202,20,52,7,37,469,12,5,2801,4261
IN,Indiana,1,8,9,25,37,27,3,4,2,148,36,1,10,4,241,N/A,10,174,10,10,6,1,123,17,32,4,6,22,0,8,2,17,4,7,15,161,1,8,22,1,16,2,31,59,3,18,0,3,19,4,0,1682,1372
KS,Kansas,2,3,23,23,41,58,2,2,2,27,16,3,11,2,37,14,N/A,6,6,5,4,0,6,13,802,2,0,11,3,27,0,8,7,8,8,9,74,6,6,0,5,4,14,99,7,4,0,6,2,0,3,1579,1421
KY,Kentucky,1,16,7,7,23,6,10,4,1,79,25,1,7,0,23,223,7,N/A,9,4,12,4,9,5,13,6,1,10,0,1,0,3,2,3,8,246,5,5,15,0,7,0,140,45,3,27,0,2,5,23,1,1146,1054
LA,Louisiana,1,27,47,6,32,10,2,3,1,74,38,0,4,0,12,8,1,4,N/A,7,11,2,6,9,4,115,0,13,0,1,2,10,4,3,14,7,15,1,10,1,12,0,30,304,4,14,0,2,3,0,0,651,874
MA,Massachusetts,3,7,7,51,182,41,205,21,5,278,49,1,4,2,58,10,8,9,6,N/A,36,86,16,18,12,1,1,53,0,3,678,93,21,4,209,30,2,6,65,284,25,1,11,58,3,45,60,16,8,3,2,2142,2797
MD,Maryland,0,10,6,27,83,18,20,551,127,220,57,5,3,1,33,15,4,7,8,38,N/A,12,25,9,13,3,3,81,0,5,4,81,13,12,51,42,6,14,290,6,29,0,20,64,6,821,5,15,15,63,1,3524,2942
