abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
ME,Maine,0,2,0,3,9,4,13,1,1,45,11,0,0,4,4,0,2,1,1,58,4,N/A,2,2,2,0,0,8,1,0,92,11,2,3,20,3,1,6,13,6,5,0,4,4,1,5,7,3,1,0,0,394,365
MI,Michigan,0,22,5,71,124,23,18,7,5,293,69,3,10,5,148,144,5,27,9,24,31,1,N/A,26,27,6,4,60,2,7,1,40,10,23,47,198,6,8,35,2,39,3,52,89,6,31,3,15,73,3,2,1406,1862
MN,Minnesota,0,4,7,62,80,44,9,3,4,83,23,1,68,10,70,28,16,9,3,22,8,1,16,N/A,31,6,6,13,120,13,1,10,11,16,24,22,8,10,14,2,3,44,14,57,2,10,1,16,300,0,3,1033,1328
MO,Missouri,0,15,63,35,79,37,7,8,3,79,27,1,24,0,302,21,1019,15,11,12,12,3,25,36,N/A,6,7,14,0,21,1,10,6,16,15,35,31,9,25,2,8,1,35,109,2,14,1,5,9,1,3,2084,2220
MS,Mississippi,1,64,19,3,5,7,1,2,2,34,24,0,2,1,10,6,2,2,71,3,1,0,3,6,7,N/A,1,12,0,0,0,3,2,2,3,3,5,1,4,0,8,0,121,50,0,3,0,4,1,0,0,618,499
MT,Montana,0,0,1,18,32,16,0,0,1,9,2,2,0,17,4,0,3,1,1,2,4,0,2,7,4,1,N/A,0,10,2,0,4,11,10,0,1,2,19,2,0,0,2,1,12,3,2,0,41,4,0,28,356,281
NC,North Carolina,0,20,7,13,45,11,18,7,9,186,127,2,1,4,25,13,6,11,13,18,31,6,19,8,18,4,0,N/A,1,0,6,34,9,7,60,34,12,13,48,4,384,0,74,62,2,164,1,4,10,11,2,2527,1564
ND,North Dakota,1,0,1,11,3,11,1,0,0,1,1,0,2,1,10,2,2,1,0,1,0,0,2,112,1,1,11,1,N/A,3,0,1,2,2,1,6,1,1,1,0,0,13,0,10,0,1,0,2,0,0,7,196,228
NE,Nebraska,0,5,6,30,27,48,1,0,1,18,4,0,109,2,7,4,27,2,3,3,7,1,3,17,28,1,1,4,1,N/A,2,3,3,4,6,5,5,5,3,0,5,26,2,33,0,3,0,5,5,1,14,435,490
NH,New Hampshire,0,5,4,7,27,7,18,2,2,52,7,0,1,0,9,1,0,2,2,311,4,71,10,2,4,0,0,10,0,1,N/A,16,2,0,35,3,0,4,11,7,6,0,4,12,3,7,59,4,2,1,0,1178,735
NJ,New Jersey,4,11,3,76,245,57,159,19,90,590,132,5,11,2,97,29,17,11,6,99,137,15,39,21,20,8,2,138,2,5,28,N/A,5,31,1635,68,13,7,1052,16,81,0,33,130,5,134,12,23,15,6,1,6259,5345
NM,New Mexico,0,1,2,82,67,69,1,1,0,11,8,4,3,5,2,1,4,2,2,2,4,1,9,6,7,1,5,3,1,2,0,6,N/A,16,8,3,14,11,6,0,4,1,4,174,9,11,0,13,6,0,5,799,597
NV,Nevada,3,1,3,77,361,31,0,3,1,27,14,5,2,16,12,1,0,3,3,3,4,2,6,8,5,2,5,5,0,4,1,10,10,N/A,7,11,6,18,2,2,2,0,7,30,55,3,0,21,1,0,15,1966,808
NY,New York,2,22,3,110,620,79,1220,99,67,1342,207,3,12,4,155,34,16,38,18,290,150,28,60,38,49,12,4,283,3,5,57,3872,21,52,N/A,127,7,14,483,50,105,2,65,219,14,223,56,59,18,8,6,4716,10431
OH,Ohio,3,14,9,53,105,33,22,16,18,316,85,3,3,2,105,185,14,314,7,28,45,6,227,19,26,4,4,83,1,3,5,42,10,14,66,N/A,9,12,178,10,50,2,53,67,3,43,3,16,31,100,0,2222,2467
OK,Oklahoma,2,7,68,28,58,37,3,2,1,28,16,1,16,3,11,5,58,4,9,5,6,1,6,6,41,4,1,8,0,5,0,6,12,13,14,8,N/A,9,8,0,2,3,23,281,3,5,0,9,6,0,4,770,846
OR,Oregon,13,3,4,37,227,25,2,2,1,22,5,9,5,64,16,5,3,1,5,8,11,0,10,7,6,0,22,8,0,2,5,7,6,27,11,9,2,N/A,5,1,1,2,3,26,27,8,0,541,4,2,5,1662,1215
PA,Pennsylvania,1,24,10,47,142,48,53,18,236,347,83,4,11,5,71,31,6,14,10,71,207,21,41,17,19,1,4,104,0,4,13,1005,12,14,276,215,12,5,N/A,10,58,0,23,101,8,109,9,19,18,50,1,3452,3608
RI,Rhode Island,0,1,0,6,12,3,58,0,2,48,8,0,0,0,5,6,3,0,1,280,7,7,1,3,1,0,0,7,0,0,12,10,1,2,24,5,1,2,10,N/A,3,0,3,8,0,6,3,3,0,0,0,515,552
SC,South Carolina,0,9,8,6,25,9,7,2,3,83,168,0,1,0,14,3,3,2,4,3,8,5,5,2,4,5,0,311,0,3,1,16,2,2,23,18,3,2,20,2,N/A,0,33,23,1,16,0,3,2,2,0,1425,862
SD,South Dakota,0,0,1,11,13,11,0,0,0,5,0,0,20,2,3,2,2,0,2,0,2,0,2,28,3,0,5,1,14,21,0,2,3,4,2,3,2,3,0,0,1,N/A,0,6,0,0,1,5,5,0,3,226,188
TN,Tennessee,0,101,57,9,55,14,12,1,8,110,255,0,3,0,28,27,5,98,18,12,13,0,24,8,20,215,3,71,2,2,2,9,1,8,31,27,14,5,23,0,26,2,N/A,99,3,55,0,0,7,4,0,1791,1487
TX,Texas,3,59,159,137,498,252,49,21,32,315,181,12,25,14,144,67,80,54,192,41,58,6,65,45,105,42,16,65,5,28,4,72,214,63,138,105,221,33,74,1,31,4,120,N/A,38,93,7,71,30,5,19,4622,4113
UT,Utah,5,2,0,59,106,57,1,1,0,23,6,0,0,42,6,4,4,1,2,0,4,0,3,3,7,1,8,4,1,2,1,4,9,43,12,6,8,18,7,0,2,1,6,23,N/A,8,0,28,2,1,17,729,548
VA,Virginia,1,13,4,16,113,29,19,453,20,266,100,2,2,6,52,17,2,30,6,40,804,4,29,8,19,10,3,234,0,0,12,59,9,13,93,49,5,19,92,7,36,1,89,100,10,N/A,9,21,10,92,1,3707,3029
VT,Vermont,1,1,0,2,10,7,18,1,0,19,4,1,0,0,4,1,0,1,1,33,7,3,2,0,1,0,0,11,0,0,86,6,1,2,40,2,0,0,3,1,2,0,3,4,2,5,N/A,2,1,0,0,327,288
WA,Washington,43,1,6,84,288,41,5,5,1,44,18,23,4,165,19,4,8,9,2,9,5,2,17,16,12,2,54,8,4,4,2,11,10,36,20,18,6,381,17,2,9,3,13,73,17,18,2,N/A,8,4,4,2129,1557
WI,Wisconsin,1,6,1,46,49,54,8,0,1,92,16,6,23,7,236,29,3,14,6,9,4,2,62,153,26,1,3,12,1,5,3,9,1,8,12,29,8,8,16,0,11,4,13,28,6,9,0,15,N/A,1,3,1324,1060
WV,West Virginia,0,1,0,1,10,1,3,1,1,30,6,1,2,0,5,2,0,37,2,2,47,0,1,1,5,2,0,24,0,0,2,4,2,2,8,124,3,1,53,1,5,0,5,11,0,89,0,0,1,N/A,0,457,496
WY,Wyoming,4,1,1,25,13,60,0,0,0,5,2,1,0,15,5,3,3,2,0,1,1,0,1,5,2,1,19,1,3,6,0,1,9,9,3,0,4,2,3,1,0,8,2,12,20,1,0,5,0,1,N/A,264,261
